Intent,Final Resolution,
Comments_and_attachments_from_contracts_not_flowing_to_PO,Contract attachment and comments will flow to the PO if the checkbox for Copy to PO is checked on the contract.,
Attachments_from_requisition_not_flowing_to_PO,The attachment from the Requisition ID will flow over to the PO ID if the checkbox for Send to Supplier is checked for the particular attachment.,
Freight_on_invoice_but_not_on_PO,"Adding freight charges to the PO encumbrance will require a Change Order. This will re-trigger the approval workflow and will also require the Budget Check to be run again to encumber the additional needed funds. Otherwise, the system will allow you to add and pay the additional freight charge on the Voucher ID but this will create a negative balance on your encumbrance status (ZZ_ENCUMBRANCE_STATUS_NEW) report.",
Encumbrance_Report_ZZ_ENCUMBRANCE_STATUS_NEW_report_shows_encumbered_amount_is_more_than_the_expensed_amount,"The reason why ZZ_ENCUMBRANCE_STATUS_NEW report shows the encumbered amount as more than the expensed amount is probably because sales tax, misc. charges, freight, or use tax was encumbered on the PO ID but not paid on the voucher ID causing a discrepancy between the encumbered amount and the expensed amount. The Buyer will need to close the PO ID and dis-encumber the remaining funds to finalize the PO ID. Refer to job aid Closing a PO (PO) to Release Encumbrance Balance 1.0",
Encumbrance_not_liquidated_for_cancelled_or_closed_PO's_on_PS_query_ZZ_ENCUMBRANCE_STATUS_NEW_,"A remaining balance on the ZZ_ENCUMBRANCE_STATUS_NEW report means that budget check was not done at the time of PO closure or cancellation. The Buyer will need to budget check the PO to liquidate the encumbered funds.
Please refer to FAQ#33 - I ran the ZZ_ENCUMBRANCE_STATUS_NEW report and all my cancelled, pending cancelled and completed PO IDs still show a remaining balance in the link below for detail steps:

http://fiscal.ca.gov/faqs/documents/Purchase_Order_FAQs_1.0.docx",
Steps_for_reopening_of_PO,"To re-open a closed PO refer to FAQ#35 - How do I re-open my closed PO ID? in the link below for detail steps:

http://fiscal.ca.gov/faqs/documents/Purchase_Order_FAQs_1.0.docx",
System_allows_over_receiving_for_PO,"The receiving tolerance is not a configuration item so a Department PO Buyer can decide at the PO ID level whether or not to check the checkbox for the ‘Reject Qty Over Tolerance field.’ If the ‘Reject Qty Over Tolerance’ field is checked, then the system will only allow the user to receive the quantity ordered. However, if the Reject Qty Over Tolerance field is NOT checked, then the system will allow the Department PO Receiving Processor to create multiple Receipt IDs against the quantity ordered/serviced amount. The system is designed to leave this checkbox unchecked.

NOTE: If the additional Receipt IDs were copied to Voucher IDs by mistake, the new Voucher IDs will fail matching because the total quantity and/or amount received have already been matched to the first associated Receipt ID and PO ID.",
Cannot_view_a_quantity_ordered_from_PO_during_receiving,"The system is configured to not display the PO quantity ordered (blind receiving) on the Receiving page. The Receiver is expected to perform an actual count.

NOTE: Blind Receiving is configured at the User ID level so some Receivers do not have the Blind Receiving Only checkbox checked in their user profile. This means that the QTY Ordered and/or Merchandise Amount on PO ID will be displayed in the QTY received or Amount Received field.",
How_to_find_whether_a_PO_has_been_received,"The receiving tolerance is not a configuration item so a Department PO Buyer can decide at the PO ID level whether or not to check the checkbox for the ‘Reject Qty Over Tolerance field.’ If the ‘Reject Qty Over Tolerance’ field is checked, then the system will only allow the user to receive the quantity ordered. However, if the Reject Qty Over Tolerance field is NOT checked, then the system will allow the Department PO Receiving Processor to create multiple Receipt IDs against the quantity ordered or the service amount. The system is designed to leave this checkbox unchecked.

NOTE: If the additional Receipt IDs were copied to Voucher IDs by mistake, the new Voucher IDs will fail matching because the total quantity and/or amount received have already been matched to the first associated Receipt ID and PO ID. Recommend removing until the resolution can be verified and simplified.",
Creation_of_Receipt,"A Receipt ID is required for the following acquisition types: Non-IT Goods, IT Goods, Non-IT Services, and IT Services. SCO will not approve Voucher ID for payment without the associated Receipt ID(s). 
There are numerous reasons why a Receipt ID is required:
1. A Receipt ID is required by SCO
2. A Receipt ID is required for Asset information to interface to Asset Management (AM) 
3. A Voucher ID is created by copying from the PO Receipt ID, in order for asset accounting to interface to Asset Management
NOTE: It is important that the Interface Receipt checkbox is checked when a Receipt ID is created for an Asset. This will ensure that the asset information flow to Asset Management. Refer to UPK PO132 - Managing Receiving WBT in FI$Cal University for the specific steps on serialization for multiple line items.
",
Chartfield_values_for_requisition,"If your chartfield values ""i.e. COA values"" did not default in your entry, or you have not been provided the chartfield values to use, consult with your supervisor, manager or departmental designated Super-User.",
PO_associated_to_Requisition,"Refer to FAQ#12 - ""How do I find the PO associated to my Requisition?"" in the link below for detail steps:

http://fiscal.ca.gov/faqs/documents/RequisitionFAQs1.0.docx",
UNSPSC_Category_Code,"DGS maintains the UNSPSC categories and can be reached athelpUNSPSC@dgs.ca.gov. Information about UNSPSC codes can be found by following this link:

https://www.dgs.ca.gov/pd/Programs/caleprocure/UNSPSC.aspx

You can also create your own UNSPSC cheat sheet in this DGS guide:

https://www.documents.dgs.ca.gov/eprocure/unspscuserguide.pdf",
Navigation_to_create_requisition,"All Requisitions must be created through the eProcurement module. Requisitions created through the Purchasing module will not be routed to the departmental Requisition Approvers and custom fields such as the ""Acquisition Type"" and ""Acquisition Method"" are not configured outside the eProcurement Module (for Requisitions).

For more information refer to FAQ#15 -Should I create my Requisition through Purchasing or eProcurement? following this link:

http://fiscal.ca.gov/faqs/documents/RequisitionFAQs1.0.docx",
Sales_tax_on_requisition,"Sales/Use Tax are not assessed on Requisitions and no encumbrance is made. Ensure there are enough funds to cover the Requistion amount plus any Sales/Use tax. 

NOTE: The Sales/Use Tax amount should not be added as a separate Requisition line item.
",
Approver_skipped,"Self-approval is not allowed in FI$Cal. If a user has both the Requisition Processor/Requester role and one of the Requisition Approver roles, the system will skip that user in the Requistition Approval workflow.",
Procurement_card_on_a_requisition,"Refer to FAQ#29 - ""Could I mark my Requisition that P-Card will be the payment method?"" in the link below for detail steps:

http://fiscal.ca.gov/faqs/documents/RequisitionFAQs1.0.docx",
Procurement_card_on_a_requisition_not_flowing_to_PO,"If the same P-Card holder creates the Requistion AND uses ""copy from Purchase Order"" to create the PO, the procurement card will flow throuht from the requistion to the PO. For more information, refer to FAQ#30 - ""Will the P-Card info flow to the PO?"" by following this link:

http://fiscal.ca.gov/faqs/documents/RequisitionFAQs1.0.docx",
Copying_multiple_requisitions_to_a_PO,"Per DGS rules and regulations, consolidation of multiple Requisitions into one PO ID is not allowed at this time. All Requisitions that have already been fully sourced/copied into POs are no longer available to be used again.
Refer to FAQ#38 - ""I copied my Requisition into a PO in error. Could I source/copy my Requisition into a new PO?"" in the link below for detailed steps:

http://fiscal.ca.gov/faqs/documents/RequisitionFAQs1.0.docx",
Difference_between_Bidder_and_Supplier,,
